lr,step,time,train_loss,train_metric,val_loss,val_metric
0.001000,143-best,4.843079,0.184206,0.184206,0.203507,0.203507
0.001000,144-best,4.859008,0.158275,0.158275,0.203245,0.203245
0.001000,145-best,4.774233,0.221235,0.221235,0.199549,0.199549
0.001000,146,4.716389,0.187187,0.187187,0.199781,0.199781
0.001000,147,4.747307,0.208028,0.208028,0.203123,0.203123
0.001000,148,4.753289,0.202995,0.202995,0.203994,0.203994
0.001000,149,4.873968,0.184798,0.184798,0.204178,0.204178
0.001000,150,4.819114,0.184105,0.184105,0.201778,0.201778
0.001000,151-best,4.645578,0.177181,0.177181,0.198570,0.198570
0.001000,152-best,4.767252,0.167141,0.167141,0.196263,0.196263
0.001000,153-best,4.700432,0.216817,0.216817,0.195146,0.195146
0.001000,154,4.746310,0.217388,0.217388,0.195946,0.195946
0.001000,155-best,4.739328,0.191734,0.191734,0.194741,0.194741
0.001000,156-best,4.857012,0.177371,0.177371,0.193962,0.193962
0.001000,157,4.786232,0.171242,0.171242,0.194138,0.194138
0.001000,158,4.789195,0.167348,0.167348,0.194897,0.194897
0.001000,159-best,4.755285,0.193122,0.193122,0.193508,0.193508
0.001000,160,4.759274,0.210523,0.210523,0.194373,0.194373
0.001000,161,4.964725,0.213838,0.213838,0.194374,0.194374
0.001000,162-best,4.799172,0.203145,0.203145,0.191449,0.191449
0.001000,163,4.765763,0.187937,0.187937,0.193654,0.193654
0.001000,164,4.814128,0.172114,0.172114,0.199352,0.199352
0.001000,165,4.744316,0.193535,0.193535,0.204338,0.204338
0.001000,166,4.815126,0.168540,0.168540,0.203043,0.203043
0.001000,167,4.874966,0.187055,0.187055,0.195182,0.195182
0.001000,168-best,4.766256,0.214038,0.214038,0.189693,0.189693
0.001000,169-best,4.869980,0.191330,0.191330,0.189265,0.189265
0.001000,170,4.828445,0.178144,0.178144,0.191362,0.191362
0.001000,171,4.822106,0.171072,0.171072,0.190924,0.190924
0.001000,172,4.811138,0.184082,0.184082,0.189569,0.189569
0.001000,173,4.800164,0.169099,0.169099,0.189631,0.189631
0.001000,174,4.810139,0.162466,0.162466,0.191460,0.191460
0.001000,175,4.804154,0.196468,0.196468,0.191943,0.191943
0.001000,176,4.785204,0.185672,0.185672,0.192293,0.192293
0.001000,177,4.891920,0.164725,0.164725,0.194781,0.194781
0.001000,178,4.749301,0.175480,0.175480,0.193573,0.193573
0.001000,179,4.845553,0.182191,0.182191,0.189533,0.189533
0.001000,180,4.804153,0.176425,0.176425,0.193745,0.193745
0.001000,181,4.760272,0.207681,0.207681,0.196945,0.196945
0.001000,182,4.807238,0.207707,0.207707,0.196304,0.196304
0.001000,183,4.791189,0.152563,0.152563,0.190515,0.190515
0.001000,184-best,4.806149,0.167479,0.167479,0.185229,0.185229
0.001000,185-best,4.851041,0.161256,0.161256,0.184772,0.184772
0.001000,186,4.757283,0.147932,0.147932,0.186218,0.186218
0.001000,187,4.798170,0.191509,0.191509,0.185393,0.185393
0.001000,188,4.824101,0.189556,0.189556,0.185076,0.185076
0.001000,189-best,4.817625,0.167992,0.167992,0.184025,0.184025
0.001000,190-best,4.871973,0.157227,0.157227,0.183239,0.183239
0.001000,191,4.781215,0.173555,0.173555,0.185388,0.185388
0.001000,192,4.819278,0.160290,0.160290,0.187623,0.187623
0.001000,193,4.840058,0.195187,0.195187,0.185872,0.185872
0.001000,194,4.814195,0.210139,0.210139,0.183690,0.183690
0.001000,195-best,4.854312,0.206170,0.206170,0.183129,0.183129
0.001000,196,4.760271,0.216393,0.216393,0.183185,0.183185
0.001000,197-best,4.854526,0.182438,0.182438,0.183041,0.183041
0.001000,198,4.837072,0.187159,0.187159,0.183442,0.183442
0.001000,199,4.866985,0.171832,0.171832,0.186134,0.186134
0.001000,200,4.856017,0.213330,0.213330,0.185065,0.185065
0.001000,201-best,4.774235,0.196453,0.196453,0.181119,0.181119
0.001000,202-best,4.851030,0.183270,0.183270,0.180128,0.180128
0.001000,203-best,4.784208,0.161642,0.161642,0.179635,0.179635
0.001000,204,4.772811,0.153789,0.153789,0.180196,0.180196
0.001000,205,4.791193,0.177629,0.177629,0.187880,0.187880
0.001000,206,4.777254,0.142149,0.142149,0.192410,0.192410
0.001000,207,4.821616,0.177174,0.177174,0.194109,0.194109
0.001000,208,4.855019,0.136087,0.136087,0.192397,0.192397
0.001000,209,4.831084,0.158288,0.158288,0.186511,0.186511
0.001000,210-best,4.812085,0.188492,0.188492,0.178557,0.178557
0.001000,211-best,4.893914,0.177960,0.177960,0.177403,0.177403
0.001000,212,4.828089,0.184392,0.184392,0.181364,0.181364
0.001000,213,4.842060,0.161239,0.161239,0.185923,0.185923
0.001000,214,4.784712,0.203499,0.203499,0.185419,0.185419
0.001000,215,4.767253,0.176250,0.176250,0.183202,0.183202
0.001000,216,4.770755,0.179234,0.179234,0.180214,0.180214
0.001000,217,4.814128,0.182487,0.182487,0.179157,0.179157
0.001000,218,4.783211,0.190093,0.190093,0.179175,0.179175
0.001000,219,4.800165,0.168261,0.168261,0.179094,0.179094
0.001000,220,4.785206,0.158456,0.158456,0.178068,0.178068
0.001000,221,4.841056,0.146438,0.146438,0.178865,0.178865
0.001000,222,4.873820,0.161413,0.161413,0.180152,0.180152
0.001000,223,4.797174,0.158030,0.158030,0.182296,0.182296
0.001000,224,4.746307,0.167029,0.167029,0.182636,0.182636
0.001000,225,4.794181,0.183342,0.183342,0.181828,0.181828
0.001000,226,4.733344,0.167335,0.167335,0.181728,0.181728
0.001000,227-best,4.739327,0.207389,0.207389,0.176923,0.176923
0.001000,228,4.748305,0.193124,0.193124,0.178783,0.178783
0.001000,229,4.747330,0.188736,0.188736,0.183559,0.183559
0.001000,230,4.735339,0.195920,0.195920,0.181561,0.181561
0.001000,231,4.699435,0.189101,0.189101,0.179097,0.179097
0.001000,232-best,4.748303,0.173925,0.173925,0.176409,0.176409
0.001000,233-best,4.835071,0.158065,0.158065,0.175820,0.175820
0.001000,234-best,4.728356,0.154548,0.154548,0.175176,0.175176
0.001000,235-best,4.808144,0.154689,0.154689,0.173881,0.173881
0.001000,236,4.765258,0.185158,0.185158,0.174799,0.174799
0.001000,237,4.782212,0.155167,0.155167,0.175782,0.175782
0.001000,238,4.746308,0.172246,0.172246,0.174942,0.174942
0.001000,239,4.744314,0.160511,0.160511,0.174304,0.174304
0.001000,240,4.785206,0.152230,0.152230,0.176945,0.176945
0.001000,241,4.716389,0.168053,0.168053,0.178006,0.178006
0.001000,242,4.775231,0.200041,0.200041,0.175575,0.175575
0.001000,243,4.680485,0.178918,0.178918,0.175371,0.175371
0.001000,244,4.775232,0.155552,0.155552,0.175991,0.175991
0.001000,245,4.716388,0.173771,0.173771,0.175608,0.175608
0.001000,246-best,4.790191,0.162848,0.162848,0.171970,0.171970
0.001000,247-best,4.807146,0.176011,0.176011,0.170680,0.170680
0.001000,248,4.664528,0.152736,0.152736,0.174762,0.174762
0.001000,249,4.775232,0.192311,0.192311,0.172726,0.172726
0.001000,250,4.764261,0.157952,0.157952,0.171142,0.171142
0.001000,251,4.742320,0.144668,0.144668,0.171717,0.171717
0.001000,252,4.763263,0.168395,0.168395,0.172551,0.172551
0.001000,253,4.751296,0.160000,0.160000,0.172758,0.172758
0.001000,254,4.913862,0.161048,0.161048,0.172426,0.172426
0.001000,255,4.755286,0.161557,0.161557,0.173794,0.173794
0.001000,256,4.843050,0.172133,0.172133,0.176195,0.176195
0.001000,257,4.791189,0.154949,0.154949,0.174165,0.174165
0.001000,258,4.770245,0.166044,0.166044,0.171694,0.171694
0.001000,259,4.819115,0.153499,0.153499,0.172404,0.172404
0.001000,260,4.773237,0.157581,0.157581,0.171374,0.171374
0.001000,261-best,4.773237,0.135346,0.135346,0.169816,0.169816
0.001000,262-best,4.734342,0.141818,0.141818,0.169350,0.169350
0.001000,263,4.781243,0.153483,0.153483,0.169856,0.169856
0.001000,264,4.780219,0.149745,0.149745,0.169749,0.169749
0.001000,265,4.816122,0.149161,0.149161,0.170685,0.170685
0.001000,266,4.720379,0.156900,0.156900,0.169531,0.169531
0.001000,267-best,4.830085,0.166363,0.166363,0.169257,0.169257
0.001000,268,4.763264,0.145869,0.145869,0.170203,0.170203
0.001000,269,4.746308,0.121587,0.121587,0.169912,0.169912
0.001000,270-best,4.743317,0.154251,0.154251,0.168635,0.168635
0.001000,271-best,4.762266,0.154012,0.154012,0.167775,0.167775
0.001000,272,4.819115,0.137299,0.137299,0.168094,0.168094
0.001000,273,4.786202,0.141542,0.141542,0.168965,0.168965
0.001000,274,4.733344,0.160129,0.160129,0.168588,0.168588
0.001000,275,4.777228,0.149478,0.149478,0.168842,0.168842
0.001000,276,4.746309,0.187022,0.187022,0.168965,0.168965
0.001000,277,4.744314,0.170316,0.170316,0.170107,0.170107
0.001000,278,4.756282,0.171898,0.171898,0.169017,0.169017
0.001000,279,4.734341,0.151812,0.151812,0.168741,0.168741
0.001000,280,4.721375,0.163310,0.163310,0.168828,0.168828
0.001000,281,4.739327,0.190124,0.190124,0.169088,0.169088
0.001000,282,4.766256,0.188059,0.188059,0.168402,0.168402
0.001000,283,4.767253,0.145285,0.145285,0.168927,0.168927
0.001000,284,4.771242,0.148115,0.148115,0.169041,0.169041
0.001000,285-best,4.749301,0.148698,0.148698,0.166586,0.166586
0.001000,286-best,4.858010,0.179229,0.179229,0.166318,0.166318
0.001000,287,4.819115,0.170320,0.170320,0.167960,0.167960
0.001000,288,4.772240,0.146653,0.146653,0.168786,0.168786
0.001000,289,4.710405,0.198558,0.198558,0.167711,0.167711
0.001000,290-best,4.638597,0.160524,0.160524,0.165174,0.165174
0.001000,291,4.774233,0.164106,0.164106,0.165180,0.165180
0.001000,292,4.798170,0.145030,0.145030,0.167767,0.167767
0.001000,293,4.757280,0.174952,0.174952,0.167103,0.167103
0.001000,294,4.780218,0.129186,0.129186,0.167898,0.167898
0.001000,295,4.835072,0.135059,0.135059,0.167713,0.167713
0.001000,296,4.728357,0.187531,0.187531,0.166862,0.166862
0.001000,297,4.734341,0.150337,0.150337,0.166352,0.166352
0.001000,298,4.741323,0.166499,0.166499,0.165751,0.165751
0.001000,299-best,4.853022,0.165946,0.165946,0.164273,0.164273
0.001000,300,4.724368,0.160931,0.160931,0.165698,0.165698
0.001000,301,4.829087,0.173315,0.173315,0.167390,0.167390
0.001000,302,4.823104,0.171555,0.171555,0.166848,0.166848
0.001000,303,4.734342,0.133739,0.133739,0.165336,0.165336
0.001000,304,4.757280,0.145734,0.145734,0.167972,0.167972
0.001000,305,4.850031,0.153734,0.153734,0.169244,0.169244
0.001000,306,4.754288,0.143081,0.143081,0.167847,0.167847
0.001000,307,4.680485,0.183528,0.183528,0.165939,0.165939
0.001000,308,4.722373,0.137093,0.137093,0.164339,0.164339
0.001000,309-best,4.700431,0.135087,0.135087,0.163919,0.163919
0.001000,310-best,4.765259,0.164882,0.164882,0.163429,0.163429
0.001000,311,4.849033,0.135976,0.135976,0.163555,0.163555
0.001000,312,4.786201,0.147454,0.147454,0.163895,0.163895
0.001000,313,4.713397,0.167048,0.167048,0.164118,0.164118
0.001000,314,4.814128,0.177666,0.177666,0.163857,0.163857
0.001000,315,4.710405,0.180941,0.180941,0.163543,0.163543
0.001000,316-best,4.804154,0.150770,0.150770,0.163364,0.163364
0.001000,317-best,4.751296,0.154263,0.154263,0.163345,0.163345
0.001000,318-best,4.734341,0.167814,0.167814,0.163074,0.163074
0.001000,319,4.757280,0.135808,0.135808,0.163171,0.163171
0.001000,320-best,4.773237,0.134666,0.134666,0.162879,0.162879
0.001000,321-best,4.760272,0.144095,0.144095,0.162553,0.162553
0.001000,322-best,4.812133,0.156388,0.156388,0.162552,0.162552
0.001000,323,4.739328,0.134421,0.134421,0.162738,0.162738
0.001000,324,4.731349,0.186165,0.186165,0.163047,0.163047
0.001000,325,4.797173,0.161350,0.161350,0.162749,0.162749
0.001000,326,4.721375,0.155185,0.155185,0.163017,0.163017
0.001000,327,4.756283,0.143731,0.143731,0.164625,0.164625
0.001000,328,4.759274,0.150655,0.150655,0.165515,0.165515
0.001000,329,4.769277,0.187333,0.187333,0.163388,0.163388
0.001000,330,4.735338,0.184901,0.184901,0.162662,0.162662
0.001000,331,4.845044,0.156936,0.156936,0.162617,0.162617
0.001000,332,4.660539,0.141771,0.141771,0.163301,0.163301
0.001000,333-best,4.749300,0.151165,0.151165,0.162517,0.162517
0.001000,334-best,4.703424,0.157023,0.157023,0.162504,0.162504
0.001000,335-best,4.720408,0.165843,0.165843,0.162418,0.162418
0.001000,336,4.759275,0.130610,0.130610,0.164470,0.164470
0.001000,337,4.832079,0.142948,0.142948,0.168100,0.168100
0.001000,338,4.826097,0.175218,0.175218,0.165250,0.165250
0.001000,339,4.722401,0.157947,0.157947,0.164573,0.164573
0.001000,340,4.787200,0.151048,0.151048,0.163998,0.163998
